RequestMethod,RequestURIPath,RequestURIQuery,RequestProtocol,UserAgent,Referer,AcceptEncoding,ContentType,Accept,Cookie,Connection,OtherHeaders,RequestBody,ResponseStatus,AIVerdictLabel,AIVulnerabilityTypeLabel,RequestLength,PathLength,QueryLength,BodyLength,NumParams,LongestParamValueLength,NumSpecialChars,NumEncodedChars,NumDoubleEncodedChars,RatioSpecialCharsToTotalChars,NumKeywords,NumUniqueChars,IsJSONBody,IsXMLBody,IsMultipartForm,HasNumericPathSegment,DepthOfPath,UsesBase64Encoding,UsesHexEncoding,HasMultipleContentLength,InvalidHTTPVersion,NumHTTPHeaders,TimeOfDayHour,TimeOfDayDayOfWeek
PUT,/rest/cart/item/10,,HTTP/1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0,,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 2}",,benign,benign,269,18,0,15,1,0,9,0,0,0.2727,0,21,True,False,False,True,4,False,False,False,False,6,20,Thursday
PUT,/api/Users/1,,HTTP/1.1,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user1@example.com"", ""address"": ""123 Main St""}",,benign,benign,296,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/rest/cart/item/19,,HTTP/1.1,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/125.0.6422.80 Mobile/15E148 Safari/604.1",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 5}",,benign,benign,331,18,0,15,1,0,9,0,0,0.2727,0,21,True,False,False,True,4,False,False,False,False,6,20,Thursday
PUT,/api/Users/2,,HTTP/1.1,"Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) CriOS/125.0.6422.76 Mobile/15E148 Safari/604.1",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user2@example.com"", ""address"": ""123 Main St""}",,benign,benign,363,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/api/Users/1,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user1@example.com"", ""address"": ""123 Main St""}",,benign,benign,343,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/api/Users/2,,HTTP/1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user2@example.com"", ""address"": ""123 Main St""}",,benign,benign,312,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/rest/cart/item/2,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 5}",,benign,benign,299,17,0,15,1,0,9,0,0,0.2812,0,20,True,False,False,True,4,True,False,False,False,6,20,Thursday
PUT,/api/Users/5,,HTTP/1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user5@example.com"", ""address"": ""123 Main St""}",,benign,benign,333,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/14,,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,214,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/rest/cart/item/6,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 1}",,benign,benign,305,17,0,15,1,0,9,0,0,0.2812,0,20,True,False,False,True,4,True,False,False,False,6,20,Thursday
PUT,/api/Users/4,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user4@example.com"", ""address"": ""123 Main St""}",,benign,benign,349,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/api/Users/4,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Brave/125.1.63.162",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user4@example.com"", ""address"": ""123 Main St""}",,benign,benign,362,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/api/Users/5,,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user5@example.com"", ""address"": ""123 Main St""}",,benign,benign,302,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/14,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,261,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
DELETE,/rest/cart/item/20,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,261,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/api/Users/1,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Brave/125.1.63.162",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user1@example.com"", ""address"": ""123 Main St""}",,benign,benign,362,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/11,,HTTP/1.1,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,227,18,0,0,0,0,4,0,0,0.2222,0,10,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/rest/cart/item/12,,HTTP/1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 3}",,benign,benign,267,18,0,15,1,0,9,0,0,0.2727,0,21,True,False,False,True,4,False,False,False,False,6,20,Thursday
PUT,/api/Users/5,,HTTP/1.1,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user5@example.com"", ""address"": ""123 Main St""}",,benign,benign,296,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/8,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S918U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,289,17,0,0,0,0,4,0,0,0.2353,0,10,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/rest/cart/item/13,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S918U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 5}",,benign,benign,335,18,0,15,1,0,9,0,0,0.2727,0,21,True,False,False,True,4,False,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/19,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,255,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
DELETE,/rest/cart/item/2,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,254,17,0,0,0,0,4,0,0,0.2353,0,10,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/rest/cart/item/6,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S918U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 5}",,benign,benign,334,17,0,15,1,0,9,0,0,0.2812,0,20,True,False,False,True,4,True,False,False,False,6,20,Thursday
PUT,/rest/cart/item/18,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 2}",,benign,benign,300,18,0,15,1,0,9,0,0,0.2727,0,21,True,False,False,True,4,False,False,False,False,6,20,Thursday
PUT,/api/Users/1,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 14; SM-G998B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user1@example.com"", ""address"": ""123 Main St""}",,benign,benign,350,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/api/Users/1,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user1@example.com"", ""address"": ""123 Main St""}",,benign,benign,349,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/20,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/125.0.0.0",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,239,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/api/Users/4,,HTTP/1.1,"Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) CriOS/125.0.6422.76 Mobile/15E148 Safari/604.1",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user4@example.com"", ""address"": ""123 Main St""}",,benign,benign,363,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/7,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,260,17,0,0,0,0,4,0,0,0.2353,0,10,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/rest/cart/item/2,,HTTP/1.1,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 2}",,benign,benign,260,17,0,15,1,0,9,0,0,0.2812,0,19,True,False,False,True,4,True,False,False,False,6,20,Thursday
PUT,/api/Users/3,,HTTP/1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user3@example.com"", ""address"": ""123 Main St""}",,benign,benign,312,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/api/Users/3,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/125.0.0.0",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user3@example.com"", ""address"": ""123 Main St""}",,benign,benign,327,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/12,,HTTP/1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,222,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/rest/cart/item/2,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 3}",,benign,benign,305,17,0,15,1,0,9,0,0,0.2812,0,20,True,False,False,True,4,True,False,False,False,6,20,Thursday
PUT,/api/Users/2,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user2@example.com"", ""address"": ""123 Main St""}",,benign,benign,349,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/15,,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,214,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/rest/cart/item/14,,HTTP/1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 1}",,benign,benign,290,18,0,15,1,0,9,0,0,0.2727,0,20,True,False,False,True,4,False,False,False,False,6,20,Thursday
PUT,/api/Users/5,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 14; SM-G998B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user5@example.com"", ""address"": ""123 Main St""}",,benign,benign,350,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/12,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Brave/125.1.63.162",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,274,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/api/Users/5,,HTTP/1.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:126.0) Gecko/20100101 Firefox/126.0,,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user5@example.com"", ""address"": ""123 Main St""}",,benign,benign,316,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/api/Users/5,,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user5@example.com"", ""address"": ""123 Main St""}",,benign,benign,302,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/9,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,254,17,0,0,0,0,4,0,0,0.2353,0,10,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/rest/cart/item/14,,HTTP/1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 5}",,benign,benign,290,18,0,15,1,0,9,0,0,0.2727,0,21,True,False,False,True,4,False,False,False,False,6,20,Thursday
PUT,/rest/cart/item/18,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 14; SM-G998B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 2}",,benign,benign,307,18,0,15,1,0,9,0,0,0.2727,0,21,True,False,False,True,4,False,False,False,False,6,20,Thursday
PUT,/rest/cart/item/18,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 2}",,benign,benign,300,18,0,15,1,0,9,0,0,0.2727,0,21,True,False,False,True,4,False,False,False,False,6,20,Thursday
PUT,/rest/cart/item/6,,HTTP/1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:15,"{""quantity"": 5}",,benign,benign,268,17,0,15,1,0,9,0,0,0.2812,0,20,True,False,False,True,4,True,False,False,False,6,20,Thursday
PUT,/api/Users/4,,HTTP/1.1,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user4@example.com"", ""address"": ""123 Main St""}",,benign,benign,296,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/2,,HTTP/1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,260,17,0,0,0,0,4,0,0,0.2353,0,10,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/api/Users/5,,HTTP/1.1,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user5@example.com"", ""address"": ""123 Main St""}",,benign,benign,315,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/12,,HTTP/1.1,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,208,18,0,0,0,0,4,0,0,0.2222,0,11,False,False,False,True,4,False,False,False,False,5,20,Thursday
PUT,/api/Users/3,,HTTP/1.1,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S918U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/125.0.0.0 Mobile Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user3@example.com"", ""address"": ""123 Main St""}",,benign,benign,378,12,0,64,2,25,19,0,0,0.25,0,31,True,False,False,True,3,True,False,False,False,6,20,Thursday
PUT,/api/Users/4,,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,"gzip, deflate, br",application/json,*/*,,keep-alive,Content-Length:64,"{""email"": ""updated_user4@example.com"", ""address"": ""123 Main St""}",,benign,benign,343,12,0,64,2,25,19,0,0,0.25,0,32,True,False,False,True,3,True,False,False,False,6,20,Thursday
DELETE,/rest/cart/item/2,,HTTP/1.1,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,"gzip, deflate, br",,*/*,,keep-alive,Content-Length:0,,,benign,benign,215,17,0,0,0,0,4,0,0,0.2353,0,10,False,False,False,True,4,False,False,False,False,5,20,Thursday
